year,1,2,3,4,5,6,7,8,9,10,11,12
2003,30.86,31.47,28.16,37.17,54.59,60.51,69.49,64.19,54.7,43.71,32.5,24.65
2004,15.23,25.73,29.66,36.33,56.25,64.62,70.94,70.35,55.88,42.1,33.02,30.12
2005,21.68,21.24,30.57,41.13,57.51,63.82,67.71,65.49,55.13,41.76,27.3,26.37
2006,19.56,21.62,23.79,37.28,51.73,62.1,65.82,59.18,52.73,41.65,17.65,23.64
2007,18.27,23.94,14.12,35.65,50.17,60.29,65.16,62.12,54.72,39.29,34.08,27.43
2009,14.3,19.08,24.55,35.86,53.91,61.45,68.19,61.56,53.8,43.08,28.9,23.98
2010,13.68,28.24,29.3,36.76,54.18,61.32,60.55,59.83,53.84,39.65,32.89,18.34
2012,10.23,25.02,23.63,39.25,49.56,60.32,60.6,60.59,50.97,37.57,22.45,10.82
2013,10.56,25.14,27.25,33.74,49.56,67.26,67.95,63.76,52.93,42.51,32.64,19.53
2014,29.14,22.52,28.51,36.79,59.12,59.6,65.75,61.69,53.77,38.56,33.04,31.94
2015,28.96,22.52,28.51,36.76,59.12,64.14,64.94,61.69,53.77,38.56,32.42,
2016,30.77,30.7,31.45,41.5,52.16,62.71,65.09,60.08,54.8,39.83,33.91,23.24
2017,17.05,21.66,18.02,34.86,45.04,54.78,60.28,59.61,50.96,41.1,29.01,28.33
